b2c_c2c,seller_id,declared_handling_days,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,item_zip,buyer_zip,category_id,item_price,quantity,payment_datetime,delivery_date,weight,package_size,record_number,buyer_state,item_state,delivery_time_buss_days,acceptance_scan_timestamp seconds,payment_datetime seconds,delivery_date seconds,new_weight,new_declared_handling_days
B2C,25454,3.0,2019-03-26 22:11:00+00:00,0,0.0,3,5,97219,49040,13,27.95,1,2019-03-24 10:56:49+00:00,2019-03-29 00:00:00+00:00,5,LETTER,1,MI,OR,4,1553638260,1553425009,1553817600,5,3
C2C,6727381,2.0,2018-06-02 19:53:00+00:00,0,3.0,3,5,11415-3528,62521,0,20.5,1,2018-06-01 20:43:54+00:00,2018-06-05 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,2,IL,-1,2,1527969180,1527885834,1528156800,8,2
B2C,18507,1.0,2019-01-07 21:22:00+00:00,0,4.5,3,5,27292,53010,1,19.9,1,2019-01-06 05:02:00+00:00,2019-01-10 00:00:00+00:00,9,PACKAGE_THICK_ENVELOPE,3,WI,NC,3,1546896120,1546750920,1547078400,9,1
B2C,4677,1.0,2018-12-18 00:56:00+00:00,0,0.0,3,5,90703,80022,1,35.5,1,2018-12-16 18:28:28+00:00,2018-12-21 00:00:00+00:00,8,PACKAGE_THICK_ENVELOPE,4,CO,CA,4,1545094560,1544984908,1545350400,8,1
B2C,4677,1.0,2018-07-27 23:48:00+00:00,0,0.0,3,5,90703,55070,1,25.0,1,2018-07-27 01:20:02+00:00,2018-07-30 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,5,MN,CA,2,1532735280,1532654402,1532908800,3,1
B2C,10514,1.0,2019-04-19 23:42:00+00:00,0,0.0,3,5,43215,77063,3,10.39,1,2019-04-18 18:11:09+00:00,2019-04-22 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,6,TX,OH,2,1555717320,1555611069,1555891200,1,1
B2C,104,1.0,2019-02-09 01:35:00+00:00,0,0.0,3,5,91304,60565,11,5.7,1,2019-02-08 17:33:13+00:00,2019-02-11 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,7,IL,CA,1,1549676100,1549647193,1549843200,8,1
B2C,340356,1.0,2018-04-23 21:31:00+00:00,0,2.95,3,5,49735,29379,1,6.0,1,2018-04-22 22:32:04+00:00,2018-04-25 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,8,SC,MI,2,1524519060,1524436324,1524614400,1,1
B2C,113915,5.0,2019-10-12 13:22:00+00:00,3,0.0,2,8,43606,32958,18,5.55,1,2019-10-11 08:54:25+00:00,2019-10-15 00:00:00+00:00,0,NONE,9,FL,OH,1,1570886520,1570784065,1571097600,8,5
B2C,130301,1.0,2019-08-09 16:24:00+00:00,1,0.0,2,5,35117,84776,13,59.98,1,2019-08-08 17:47:14+00:00,2019-08-12 00:00:00+00:00,112,PACKAGE_THICK_ENVELOPE,10,UT,AL,2,1565367840,1565286434,1565568000,112,1
