b2c_c2c,seller_id,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,category_id,item_price,quantity,payment_datetime,delivery_date,package_size,buyer_state,item_state,delivery_time_buss_days,acceptance_scan_timestamp seconds,payment_datetime seconds,delivery_date seconds,new_weight,new_declared_handling_days
B2C,25454,2019-03-26 22:11:00+00:00,0,0.0,3,5,13,27.95,1,2019-03-24 10:56:49+00:00,2019-03-29 00:00:00+00:00,LETTER,MI,OR,4,1553638260,1553425009,1553817600,5,3
C2C,6727381,2018-06-02 19:53:00+00:00,0,3.0,3,5,0,20.5,1,2018-06-01 20:43:54+00:00,2018-06-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IL,-1,2,1527969180,1527885834,1528156800,8,2
B2C,18507,2019-01-07 21:22:00+00:00,0,4.5,3,5,1,19.9,1,2019-01-06 05:02:00+00:00,2019-01-10 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,WI,NC,3,1546896120,1546750920,1547078400,9,1
B2C,4677,2018-12-18 00:56:00+00:00,0,0.0,3,5,1,35.5,1,2018-12-16 18:28:28+00:00,2018-12-21 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CO,CA,4,1545094560,1544984908,1545350400,8,1
B2C,4677,2018-07-27 23:48:00+00:00,0,0.0,3,5,1,25.0,1,2018-07-27 01:20:02+00:00,2018-07-30 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MN,CA,2,1532735280,1532654402,1532908800,3,1
B2C,10514,2019-04-19 23:42:00+00:00,0,0.0,3,5,3,10.39,1,2019-04-18 18:11:09+00:00,2019-04-22 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,OH,2,1555717320,1555611069,1555891200,1,1
B2C,104,2019-02-09 01:35:00+00:00,0,0.0,3,5,11,5.7,1,2019-02-08 17:33:13+00:00,2019-02-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IL,CA,1,1549676100,1549647193,1549843200,8,1
B2C,340356,2018-04-23 21:31:00+00:00,0,2.95,3,5,1,6.0,1,2018-04-22 22:32:04+00:00,2018-04-25 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,SC,MI,2,1524519060,1524436324,1524614400,1,1
B2C,113915,2019-10-12 13:22:00+00:00,3,0.0,2,8,18,5.55,1,2019-10-11 08:54:25+00:00,2019-10-15 00:00:00+00:00,NONE,FL,OH,1,1570886520,1570784065,1571097600,8,5
B2C,130301,2019-08-09 16:24:00+00:00,1,0.0,2,5,13,59.98,1,2019-08-08 17:47:14+00:00,2019-08-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,UT,AL,2,1565367840,1565286434,1565568000,112,1
B2C,206,2019-04-03 02:42:00+00:00,0,0.0,3,5,12,9.64,1,2019-03-31 13:58:25+00:00,2019-04-04 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MD,CA,3,1554259320,1554040705,1554336000,7,1
B2C,2101,2018-05-08 20:26:00+00:00,0,0.0,3,5,13,9.9,1,2018-05-07 16:40:27+00:00,2018-05-14 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NC,IA,5,1525811160,1525711227,1526256000,2,1
B2C,12924,2018-08-06 21:23:00+00:00,0,0.0,3,5,8,23.99,1,2018-08-06 18:04:18+00:00,2018-08-09 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OH,TX,3,1533590580,1533578658,1533772800,1,1
C2C,487782,2018-12-09 02:17:00+00:00,0,0.0,3,5,11,15.88,1,2018-12-03 02:31:17+00:00,2018-12-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NC,CA,7,1544321820,1543804277,1544572800,8,2
B2C,5815,2019-05-21 23:50:14+00:00,0,0.0,3,5,11,22.78,2,2019-05-20 22:23:31+00:00,2019-05-22 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,FL,2,1558482614,1558391011,1558483200,8,0
B2C,17757,2019-04-15 20:39:00+00:00,0,0.0,3,5,13,29.99,1,2019-04-14 23:04:18+00:00,2019-04-19 00:00:00+00:00,LETTER,MO,ME,4,1555360740,1555283058,1555632000,8,0
B2C,48312,2018-02-13 04:14:00+00:00,0,4.0,3,5,0,22.99,1,2018-02-11 00:37:32+00:00,2018-02-14 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,MD,2,1518495240,1518309452,1518566400,6,1
B2C,2077,2018-07-18 19:57:00+00:00,1,0.0,2,5,5,65.0,1,2018-07-17 18:42:15+00:00,2018-07-20 00:00:00+00:00,NONE,MN,TX,3,1531943820,1531852935,1532044800,8,1
B2C,1083,2018-12-18 01:17:00+00:00,5,0.0,2,5,1,129.99,1,2018-12-16 05:00:07+00:00,2018-12-20 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,ID,3,1545095820,1544936407,1545264000,6,1
B2C,55903,2019-09-25 19:20:00+00:00,2,0.0,2,9,1,195.99,1,2019-09-25 14:52:54+00:00,2019-09-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,PA,NJ,2,1569439200,1569423174,1569542400,8,2
C2C,166588,2018-03-27 04:03:00+00:00,0,0.0,3,5,10,1.29,1,2018-03-24 22:59:16+00:00,2018-03-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,CA,1,1522123380,1521932356,1522108800,8,1
B2C,70189,2018-08-29 19:35:00+00:00,0,0.0,3,5,8,16.49,1,2018-08-27 05:00:48+00:00,2018-09-01 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,ID,FL,5,1535571300,1535346048,1535760000,8,3
B2C,10798,2018-05-08 21:03:00+00:00,0,0.0,3,5,8,7.29,1,2018-05-07 23:15:10+00:00,2018-05-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NY,CA,4,1525813380,1525734910,1525996800,8,0
B2C,16000,2018-04-09 22:57:00+00:00,6,0.0,2,5,10,19.96,1,2018-04-06 00:08:25+00:00,2018-04-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CO,OR,5,1523314620,1522973305,1523491200,19,3
