b2c_c2c,seller_id,declared_handling_days,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,item_zip,buyer_zip,category_id,item_price,quantity,payment_datetime,delivery_date,weight,weight_units,package_size,record_number
B2C,25454,3.0,2019-03-26 15:11:00.000-07:00,0,0.0,3,5,97219,49040,13,27.95,1,2019-03-24 03:56:49.000-07:00,2019-03-29,5,1,LETTER,1
C2C,6727381,2.0,2018-06-02 12:53:00.000-07:00,0,3.0,3,5,11415-3528,62521,0,20.5,1,2018-06-01 13:43:54.000-07:00,2018-06-05,0,1,PACKAGE_THICK_ENVELOPE,2
B2C,18507,1.0,2019-01-07 16:22:00.000-05:00,0,4.5,3,5,27292,53010,1,19.9,1,2019-01-06 00:02:00.000-05:00,2019-01-10,9,1,PACKAGE_THICK_ENVELOPE,3
B2C,4677,1.0,2018-12-17 16:56:00.000-08:00,0,0.0,3,5,90703,80022,1,35.5,1,2018-12-16 10:28:28.000-08:00,2018-12-21,8,1,PACKAGE_THICK_ENVELOPE,4
B2C,4677,1.0,2018-07-27 16:48:00.000-07:00,0,0.0,3,5,90703,55070,1,25.0,1,2018-07-26 18:20:02.000-07:00,2018-07-30,3,1,PACKAGE_THICK_ENVELOPE,5
B2C,10514,1.0,2019-04-19 19:42:00.000-04:00,0,0.0,3,5,43215,77063,3,10.39,1,2019-04-18 14:11:09.000-04:00,2019-04-22,1,1,PACKAGE_THICK_ENVELOPE,6
B2C,104,1.0,2019-02-08 17:35:00.000-08:00,0,0.0,3,5,91304,60565,11,5.7,1,2019-02-08 09:33:13.000-08:00,2019-02-11,0,1,PACKAGE_THICK_ENVELOPE,7
B2C,340356,1.0,2018-04-23 17:31:00.000-04:00,0,2.95,3,5,49735,29379,1,6.0,1,2018-04-22 18:32:04.000-04:00,2018-04-25,1,1,PACKAGE_THICK_ENVELOPE,8
B2C,113915,5.0,2019-10-12 09:22:00.000-04:00,3,0.0,2,8,43606,32958,18,5.55,1,2019-10-11 04:54:25.000-04:00,2019-10-15,0,1,NONE,9
B2C,130301,1.0,2019-08-09 11:24:00.000-05:00,1,0.0,2,5,35117,84776,13,59.98,1,2019-08-08 12:47:14.000-05:00,2019-08-12,112,1,PACKAGE_THICK_ENVELOPE,10
B2C,206,1.0,2019-04-02 19:42:00.000-07:00,0,0.0,3,5,93309,20774,12,9.64,1,2019-03-31 06:58:25.000-07:00,2019-04-04,7,1,PACKAGE_THICK_ENVELOPE,11
B2C,2101,1.0,2018-05-08 15:26:00.000-05:00,0,0.0,3,5,51031,28092,13,9.9,1,2018-05-07 11:40:27.000-05:00,2018-05-14,2,1,PACKAGE_THICK_ENVELOPE,12
